route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
580,0000000662023061020230910,0003888752023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
598,0000000662023061020230910,0003888782023061020230910,Nomi Piazza Springa,0,D59_C5825_Andata_sub2,2
598,0000000662023061020230910,0003888792023061020230910,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662023061020230910,0003888802023061020230910,Nomi Piazza Springa,0,D55_C5821_Andata_sub2,2
598,0000000662023061020230910,0003888812023061020230910,Nomi Piazza Springa,0,D63_C5829_Andata_sub1,2
598,0000000662023061020230910,0003888822023061020230910,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662023061020230910,0003888832023061020230910,Nomi Piazza Springa,0,D63_C5829_Andata_sub1,2
598,0000000662023061020230910,0003888842023061020230910,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662023061020230910,0003888852023061020230910,Besenello Nord,1,D246_N5251_Andata_sub2,2
598,0000000662023061020230910,0003888862023061020230910,Volano Casa di Riposo,1,D58_C5824_Ritorno_sub1,2
598,0000000662023061020230910,0003888872023061020230910,Volano Casa di Riposo,1,D58_C5824_Ritorno_sub1,2
598,0000000662023061020230910,0003888882023061020230910,Corso Verona Ospedale,1,D64_C5830_Ritorno_sub1,2
598,0000000662023061020230910,0003888892023061020230910,Corso Verona Ospedale,1,D64_C5830_Ritorno_sub1,2
598,0000000662023061020230910,0003888902023061020230910,Volano Casa di Riposo,1,D58_C5824_Ritorno_sub1,2
598,0000000662023061020230910,0003888912023061020230910,Volano Casa di Riposo,1,D56_C5822_Ritorno_sub2,2
598,0000000662023061020230910,0003888922023061020230910,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662023061020230910,0003888932023061020230910,Volano Casa di Riposo,1,D56_C5822_Ritorno_sub2,2
578,0000000822023061020230910,0003888942023061020230910,Marco,0,D272_R5109e_Andata_sub1,1
578,0000000592023061020230910,0003888952023061020230910,Marco,0,D301_R5153_Andata_sub2,1
578,0000000592023061020230910,0003888962023061020230910,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592023061020230910,0003888972023061020230910,Marco,0,D272_R5109e_Andata_sub1,1
578,0000000592023061020230910,0003888982023061020230910,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592023061020230910,0003888992023061020230910,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592023061020230910,0003889002023061020230910,Marco,0,D274_R5111_Andata_sub1,1
578,0000000592023061020230910,0003889012023061020230910,Marco,0,D288_R5127b_Andata_sub1,1
578,0000000592023061020230910,0003889022023061020230910,Marco,0,D276_R5113_Andata_sub1,1
578,0000000592023061020230910,0003889032023061020230910,Marco,0,D276_R5113_Andata_sub1,1
578,0000000592023061020230910,0003889042023061020230910,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592023061020230910,0003889052023061020230910,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592023061020230910,0003889062023061020230910,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592023061020230910,0003889072023061020230910,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592023061020230910,0003889082023061020230910,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
